observation_time,no2,temperature,humidity,wind_speed,wind_direction,pressure
2025-07-18T00:00+08:00,28,30,84,11,180,995
2025-07-18T01:00+08:00,25,30,83,11,180,995
2025-07-18T02:00+08:00,20,30,85,11,225,995
2025-07-18T03:00+08:00,20,29,88,7,225,994
2025-07-18T04:00+08:00,22,29,90,4,135,994
2025-07-18T05:00+08:00,20,29,90,3,315,994
2025-07-18T06:00+08:00,23,29,90,5,135,995
2025-07-18T07:00+08:00,26,30,89,3,315,995
2025-07-18T08:00+08:00,29,31,85,5,180,995
2025-07-18T09:00+08:00,39,31,82,5,315,995
2025-07-18T10:00+08:00,41,31,79,5,180,995
2025-07-18T11:00+08:00,36,29,84,10,90,994
2025-07-18T12:00+08:00,23,27,80,24,180,994
2025-07-18T13:00+08:00,14,25,92,8,315,993
2025-07-18T14:00+08:00,11,26,93,9,225,993
2025-07-18T15:00+08:00,14,29,85,8,180,992
2025-07-18T16:00+08:00,22,29,78,10,180,992
2025-07-18T17:00+08:00,32,28,82,10,180,991
2025-07-18T18:00+08:00,41,28,86,7,270,992
2025-07-18T19:00+08:00,39,28,84,9,225,992
2025-07-18T20:00+08:00,35,27,88,2,225,993
2025-07-18T21:00+08:00,34,26,85,3,225,994
2025-07-18T22:00+08:00,34,26,85,3,315,993
2025-07-18T23:00+08:00,26,27,86,8,45,993
2025-07-17T00:00+08:00,18,29,83,9,180,998
2025-07-17T01:00+08:00,15,29,84,7,180,998
2025-07-17T02:00+08:00,16,29,84,12,225,997
2025-07-17T03:00+08:00,19,28,87,5,180,997
2025-07-17T04:00+08:00,21,28,88,5,180,996
2025-07-17T05:00+08:00,23,28,89,8,225,997
2025-07-17T06:00+08:00,22,28,90,5,135,998
2025-07-17T07:00+08:00,21,28,87,5,180,998
2025-07-17T08:00+08:00,21,30,82,9,135,998
2025-07-17T09:00+08:00,16,31,75,8,225,999
2025-07-17T10:00+08:00,14,31,74,8,225,999
2025-07-17T11:00+08:00,14,33,64,10,225,999
2025-07-17T12:00+08:00,13,34,64,10,180,998
2025-07-17T13:00+08:00,9,35,57,10,225,997
2025-07-17T14:00+08:00,8,35,58,5,315,996
2025-07-17T15:00+08:00,13,32,67,19,0,996
2025-07-17T16:00+08:00,18,33,65,12,0,995
2025-07-17T17:00+08:00,13,34,61,10,315,995
2025-07-17T18:00+08:00,15,33,62,4,315,994
2025-07-17T19:00+08:00,17,33,65,2,315,995
2025-07-17T20:00+08:00,20,32,71,5,180,996
2025-07-17T21:00+08:00,19,30,82,8,180,996
2025-07-17T22:00+08:00,24,30,83,5,180,996
2025-07-17T23:00+08:00,36,30,84,7,225,996
