observation_time,no2,temperature,humidity,wind_speed,wind_direction,pressure
2025-07-18T00:00+08:00,14,30,82,12,225,987
2025-07-18T01:00+08:00,12,29,85,12,180,987
2025-07-18T02:00+08:00,12,29,84,9,180,986
2025-07-18T03:00+08:00,13,29,87,8,225,985
2025-07-18T04:00+08:00,14,29,91,7,270,986
2025-07-18T05:00+08:00,15,28,90,9,270,986
2025-07-18T06:00+08:00,12,28,91,10,270,987
2025-07-18T07:00+08:00,14,29,92,7,270,986
2025-07-18T08:00+08:00,18,29,88,8,270,987
2025-07-18T09:00+08:00,16,31,83,13,270,987
2025-07-18T10:00+08:00,16,32,79,10,270,986
2025-07-18T11:00+08:00,16,33,69,8,270,986
2025-07-18T12:00+08:00,15,31,69,9,315,986
2025-07-18T13:00+08:00,21,28,89,12,135,984
2025-07-18T14:00+08:00,27,27,94,11,135,985
2025-07-18T15:00+08:00,22,26,93,9,135,984
2025-07-18T16:00+08:00,12,27,82,15,225,983
2025-07-18T17:00+08:00,11,27,79,22,225,982
2025-07-18T18:00+08:00,14,27,87,9,180,983
2025-07-18T19:00+08:00,18,26,78,17,225,984
2025-07-18T20:00+08:00,14,26,72,9,270,984
2025-07-18T21:00+08:00,15,26,73,10,0,984
2025-07-18T22:00+08:00,22,26,78,9,0,985
2025-07-18T23:00+08:00,27,26,82,9,45,984
2025-07-17T00:00+08:00,9,28,85,13,180,990
2025-07-17T01:00+08:00,8,28,88,9,225,989
2025-07-17T02:00+08:00,9,28,90,6,180,989
2025-07-17T03:00+08:00,8,27,91,10,225,988
2025-07-17T04:00+08:00,8,27,90,7,225,988
2025-07-17T05:00+08:00,8,27,92,13,225,988
2025-07-17T06:00+08:00,9,27,93,9,180,989
2025-07-17T07:00+08:00,9,28,91,8,180,989
2025-07-17T08:00+08:00,10,29,83,5,270,990
2025-07-17T09:00+08:00,9,30,79,3,0,990
2025-07-17T10:00+08:00,8,31,73,6,225,990
2025-07-17T11:00+08:00,8,32,71,5,225,990
2025-07-17T12:00+08:00,9,33,67,14,225,990
2025-07-17T13:00+08:00,8,34,62,11,270,989
2025-07-17T14:00+08:00,7,35,58,8,270,988
2025-07-17T15:00+08:00,8,34,60,10,225,987
2025-07-17T16:00+08:00,8,35,58,7,270,987
2025-07-17T17:00+08:00,8,34,59,6,225,986
2025-07-17T18:00+08:00,11,34,60,5,45,986
2025-07-17T19:00+08:00,16,33,63,3,0,986
2025-07-17T20:00+08:00,15,31,76,7,135,987
2025-07-17T21:00+08:00,17,30,80,5,135,987
2025-07-17T22:00+08:00,17,30,82,12,180,988
2025-07-17T23:00+08:00,14,30,83,8,225,988
2025-07-16T00:00+08:00,8,28,89,16,225,989
2025-07-16T01:00+08:00,7,28,90,9,225,989
2025-07-16T02:00+08:00,7,27,90,13,225,988
2025-07-16T03:00+08:00,8,27,86,20,225,988
2025-07-16T04:00+08:00,8,27,86,10,180,988
2025-07-16T05:00+08:00,8,27,86,18,180,988
2025-07-16T06:00+08:00,8,27,87,11,225,988
2025-07-16T07:00+08:00,8,28,87,7,225,989
2025-07-16T08:00+08:00,8,29,84,8,225,990
2025-07-16T09:00+08:00,8,30,79,10,270,990
2025-07-16T10:00+08:00,9,31,76,9,135,990
2025-07-16T11:00+08:00,6,32,70,19,270,990
2025-07-16T12:00+08:00,7,32,68,9,270,990
2025-07-16T13:00+08:00,7,31,71,13,180,989
2025-07-16T14:00+08:00,7,31,73,3,180,989
2025-07-16T15:00+08:00,6,33,61,11,225,989
2025-07-16T16:00+08:00,6,34,56,12,225,988
2025-07-16T17:00+08:00,6,34,55,5,180,988
2025-07-16T18:00+08:00,7,33,65,18,180,987
2025-07-16T19:00+08:00,10,31,70,14,180,987
2025-07-16T20:00+08:00,12,30,75,18,180,988
2025-07-16T21:00+08:00,14,29,80,15,180,988
2025-07-16T22:00+08:00,15,29,82,16,225,989
2025-07-16T23:00+08:00,14,29,82,17,180,989
2025-07-15T00:00+08:00,11,28,85,13,225,989
2025-07-15T01:00+08:00,10,28,86,12,225,989
2025-07-15T02:00+08:00,8,28,84,23,225,988
2025-07-15T03:00+08:00,8,28,86,24,225,988
2025-07-15T04:00+08:00,6,28,88,20,225,988
2025-07-15T05:00+08:00,8,27,89,12,225,988
2025-07-15T06:00+08:00,8,27,90,16,225,988
2025-07-15T07:00+08:00,8,28,89,14,270,989
2025-07-15T08:00+08:00,9,29,82,8,225,989
2025-07-15T09:00+08:00,8,30,76,14,225,989
2025-07-15T10:00+08:00,6,31,76,14,270,989
2025-07-15T11:00+08:00,6,31,73,11,225,989
2025-07-15T12:00+08:00,6,33,65,5,180,989
2025-07-15T13:00+08:00,6,33,67,9,270,989
2025-07-15T14:00+08:00,6,27,84,13,225,989
2025-07-15T15:00+08:00,7,28,78,7,225,988
2025-07-15T16:00+08:00,8,28,81,17,225,988
2025-07-15T17:00+08:00,11,29,80,17,225,987
2025-07-15T18:00+08:00,11,29,75,19,225,987
2025-07-15T19:00+08:00,12,29,78,12,180,987
2025-07-15T20:00+08:00,12,29,83,18,180,987
2025-07-15T21:00+08:00,10,28,84,22,180,988
2025-07-15T22:00+08:00,8,28,85,19,225,988
2025-07-15T23:00+08:00,7,28,87,16,180,989
2025-07-14T00:00+08:00,10,27,90,8,135,991
2025-07-14T01:00+08:00,10,27,91,10,135,991
2025-07-14T02:00+08:00,13,27,90,7,180,990
2025-07-14T03:00+08:00,13,27,91,11,180,990
2025-07-14T04:00+08:00,12,27,90,8,270,990
2025-07-14T05:00+08:00,12,27,91,9,225,990
2025-07-14T06:00+08:00,13,27,91,14,225,990
2025-07-14T07:00+08:00,14,27,90,5,225,990
2025-07-14T08:00+08:00,13,28,88,6,225,991
2025-07-14T09:00+08:00,13,29,83,8,270,991
2025-07-14T10:00+08:00,11,31,74,5,90,991
2025-07-14T11:00+08:00,9,31,71,7,270,991
2025-07-14T12:00+08:00,7,33,65,14,270,990
2025-07-14T13:00+08:00,6,34,58,14,270,990
2025-07-14T14:00+08:00,5,34,58,15,225,989
2025-07-14T15:00+08:00,6,33,63,13,225,988
2025-07-14T16:00+08:00,7,33,68,11,180,987
2025-07-14T17:00+08:00,8,32,68,23,180,987
2025-07-14T18:00+08:00,8,31,72,13,180,987
2025-07-14T19:00+08:00,9,30,72,11,180,987
2025-07-14T20:00+08:00,11,29,80,16,180,988
2025-07-14T21:00+08:00,11,29,84,11,180,989
2025-07-14T22:00+08:00,11,28,84,8,225,989
2025-07-14T23:00+08:00,11,28,85,10,180,989
2025-07-13T00:00+08:00,13,27,93,7,135,991
2025-07-13T01:00+08:00,13,27,91,6,180,991
2025-07-13T02:00+08:00,13,26,92,18,180,991
2025-07-13T03:00+08:00,7,26,93,7,135,991
2025-07-13T04:00+08:00,7,26,93,10,180,991
2025-07-13T05:00+08:00,6,26,94,8,180,991
2025-07-13T06:00+08:00,12,26,95,12,180,991
2025-07-13T07:00+08:00,11,27,94,5,135,991
2025-07-13T08:00+08:00,9,29,86,14,180,992
2025-07-13T09:00+08:00,7,30,79,5,225,992
2025-07-13T10:00+08:00,6,31,71,8,180,992
2025-07-13T11:00+08:00,6,31,75,9,135,992
2025-07-13T12:00+08:00,6,32,65,12,225,992
2025-07-13T13:00+08:00,5,32,67,16,180,991
2025-07-13T14:00+08:00,5,33,65,13,135,991
2025-07-13T15:00+08:00,6,29,79,20,225,990
2025-07-13T16:00+08:00,9,29,81,8,270,989
2025-07-13T17:00+08:00,8,30,81,5,135,989
2025-07-13T18:00+08:00,7,30,81,7,135,990
2025-07-13T19:00+08:00,8,29,83,7,135,990
2025-07-13T20:00+08:00,11,28,86,10,135,990
2025-07-13T21:00+08:00,10,27,87,12,135,990
2025-07-13T22:00+08:00,11,27,88,12,135,991
2025-07-13T23:00+08:00,11,28,86,12,225,992
2025-07-12T00:00+08:00,27,26,87,5,180,988
2025-07-12T01:00+08:00,23,26,86,3,180,988
2025-07-12T02:00+08:00,23,26,91,4,135,988
2025-07-12T03:00+08:00,21,25,93,3,135,987
2025-07-12T04:00+08:00,18,25,94,5,135,987
2025-07-12T05:00+08:00,14,25,95,6,135,988
2025-07-12T06:00+08:00,15,25,94,5,90,988
2025-07-12T07:00+08:00,17,25,95,7,90,989
2025-07-12T08:00+08:00,18,26,95,8,135,989
2025-07-12T09:00+08:00,19,28,87,5,90,990
2025-07-12T10:00+08:00,16,30,80,6,180,990
2025-07-12T11:00+08:00,10,31,76,5,270,990
2025-07-12T12:00+08:00,9,31,77,9,135,990
2025-07-12T13:00+08:00,7,28,87,10,180,990
2025-07-12T14:00+08:00,8,29,87,8,180,989
2025-07-12T15:00+08:00,7,29,84,12,135,989
2025-07-12T16:00+08:00,8,29,80,11,180,989
2025-07-12T17:00+08:00,7,29,79,10,135,989
2025-07-12T18:00+08:00,8,28,91,9,180,989
2025-07-12T19:00+08:00,10,27,90,7,180,989
2025-07-12T20:00+08:00,10,27,89,11,225,990
2025-07-12T21:00+08:00,12,27,90,5,180,991
2025-07-12T22:00+08:00,13,27,91,8,135,991
2025-07-12T23:00+08:00,17,27,92,8,135,991
2025-07-11T00:00+08:00,18,25,95,12,225,983
