observation_time,no2,temperature,humidity,wind_speed,wind_direction,pressure
2025-07-18T00:00+08:00,33,31,71,7,270,998
2025-07-18T01:00+08:00,42,31,73,2,45,998
2025-07-18T02:00+08:00,34,31,73,4,225,997
2025-07-18T03:00+08:00,34,30,80,2,315,997
2025-07-18T04:00+08:00,31,30,81,3,225,997
2025-07-18T05:00+08:00,29,30,76,5,225,997
2025-07-18T06:00+08:00,32,30,78,6,270,998
2025-07-18T07:00+08:00,34,30,78,6,225,998
2025-07-18T08:00+08:00,35,31,73,7,270,998
2025-07-18T09:00+08:00,35,32,67,14,270,998
2025-07-18T10:00+08:00,33,33,63,14,315,998
2025-07-18T11:00+08:00,21,34,58,17,315,997
2025-07-18T12:00+08:00,15,34,60,19,315,997
2025-07-18T13:00+08:00,14,35,59,17,0,995
2025-07-18T14:00+08:00,16,35,58,11,315,995
2025-07-18T15:00+08:00,22,36,55,10,315,993
2025-07-18T16:00+08:00,25,33,66,17,135,994
2025-07-18T17:00+08:00,22,25,92,8,135,995
2025-07-18T18:00+08:00,18,25,93,14,180,995
2025-07-18T19:00+08:00,18,26,93,4,225,995
2025-07-18T20:00+08:00,22,26,91,5,90,996
2025-07-18T21:00+08:00,27,26,92,5,45,996
2025-07-18T22:00+08:00,31,26,90,10,45,997
2025-07-18T23:00+08:00,34,27,89,4,0,996
2025-07-17T00:00+08:00,14,31,75,9,225,1001
2025-07-17T01:00+08:00,15,31,77,16,180,1000
2025-07-17T02:00+08:00,13,30,76,12,180,1000
2025-07-17T03:00+08:00,13,30,76,8,180,999
2025-07-17T04:00+08:00,13,30,77,13,225,999
2025-07-17T05:00+08:00,13,29,79,8,225,999
2025-07-17T06:00+08:00,17,29,81,9,225,1000
2025-07-17T07:00+08:00,16,29,80,12,180,1001
2025-07-17T08:00+08:00,16,30,78,10,225,1001
2025-07-17T09:00+08:00,13,31,76,16,225,1001
2025-07-17T10:00+08:00,13,32,70,8,270,1002
2025-07-17T11:00+08:00,13,33,65,7,270,1001
2025-07-17T12:00+08:00,11,34,61,12,270,1001
2025-07-17T13:00+08:00,10,35,55,12,315,1000
2025-07-17T14:00+08:00,9,34,56,15,315,1000
2025-07-17T15:00+08:00,10,34,61,11,0,999
2025-07-17T16:00+08:00,11,35,55,6,270,998
2025-07-17T17:00+08:00,12,36,54,16,270,997
2025-07-17T18:00+08:00,14,35,56,5,315,997
2025-07-17T19:00+08:00,16,34,58,5,0,998
2025-07-17T20:00+08:00,18,33,68,3,0,998
2025-07-17T21:00+08:00,22,32,78,4,180,998
2025-07-17T22:00+08:00,33,31,79,4,135,999
2025-07-17T23:00+08:00,32,31,75,2,135,999
2025-07-16T00:00+08:00,13,30,78,17,180,1000
2025-07-16T01:00+08:00,15,29,80,16,180,1000
2025-07-16T02:00+08:00,15,29,80,9,225,999
2025-07-16T03:00+08:00,18,29,81,5,180,999
2025-07-16T04:00+08:00,15,29,81,13,180,1000
2025-07-16T05:00+08:00,14,29,81,5,180,1000
2025-07-16T06:00+08:00,14,29,82,11,225,1000
2025-07-16T07:00+08:00,17,29,82,10,225,1001
2025-07-16T08:00+08:00,15,30,77,10,225,1001
2025-07-16T09:00+08:00,13,31,73,8,180,1002
2025-07-16T10:00+08:00,12,32,69,13,180,1002
2025-07-16T11:00+08:00,10,32,66,18,225,1002
2025-07-16T12:00+08:00,9,34,61,9,225,1001
2025-07-16T13:00+08:00,9,35,59,16,270,1001
2025-07-16T14:00+08:00,8,35,55,12,180,1000
2025-07-16T15:00+08:00,8,36,50,6,270,999
2025-07-16T16:00+08:00,10,36,48,6,270,999
2025-07-16T17:00+08:00,11,36,50,5,270,998
2025-07-16T18:00+08:00,13,36,53,6,225,998
2025-07-16T19:00+08:00,15,35,55,4,135,998
2025-07-16T20:00+08:00,20,34,60,16,180,999
2025-07-16T21:00+08:00,22,33,61,15,180,999
2025-07-16T22:00+08:00,19,33,66,20,180,1000
2025-07-16T23:00+08:00,18,32,71,16,225,1000
2025-07-15T00:00+08:00,28,28,88,9,180,1000
2025-07-15T01:00+08:00,33,28,88,5,180,1000
2025-07-15T02:00+08:00,36,28,85,12,180,1000
2025-07-15T03:00+08:00,24,29,85,8,225,1000
2025-07-15T04:00+08:00,19,28,86,5,225,1000
2025-07-15T05:00+08:00,19,28,87,5,225,999
2025-07-15T06:00+08:00,19,28,87,4,225,999
2025-07-15T07:00+08:00,20,28,84,6,270,1000
2025-07-15T08:00+08:00,20,29,79,12,225,1001
2025-07-15T09:00+08:00,16,30,75,11,270,1001
2025-07-15T10:00+08:00,14,31,69,9,225,1001
2025-07-15T11:00+08:00,14,32,66,10,180,1000
