observation_time,no2,temperature,humidity,wind_speed,wind_direction,pressure
2025-07-18T00:00+08:00,44,27,91,5,315,994
2025-07-18T01:00+08:00,43,27,93,6,0,993
2025-07-18T02:00+08:00,40,27,93,6,0,993
2025-07-18T03:00+08:00,39,27,94,8,0,993
2025-07-18T04:00+08:00,39,27,94,5,0,993
2025-07-18T05:00+08:00,42,27,94,5,315,993
2025-07-18T06:00+08:00,44,27,95,5,0,993
2025-07-18T07:00+08:00,40,27,94,6,0,994
2025-07-18T08:00+08:00,36,29,91,5,315,993
2025-07-18T09:00+08:00,40,32,79,4,225,993
2025-07-18T10:00+08:00,40,33,74,8,0,993
2025-07-18T11:00+08:00,31,33,73,8,45,992
2025-07-18T12:00+08:00,24,33,66,7,315,992
2025-07-18T13:00+08:00,19,35,63,5,315,991
2025-07-18T14:00+08:00,15,31,70,17,180,991
2025-07-18T15:00+08:00,19,31,73,7,135,990
2025-07-18T16:00+08:00,22,30,76,10,90,990
2025-07-18T17:00+08:00,25,29,81,3,225,990
2025-07-18T18:00+08:00,19,27,81,4,0,990
2025-07-18T19:00+08:00,18,26,90,8,0,990
2025-07-18T20:00+08:00,22,25,92,5,0,991
2025-07-18T21:00+08:00,27,25,93,5,0,992
2025-07-18T22:00+08:00,30,26,93,10,45,993
2025-07-18T23:00+08:00,27,26,93,10,0,991
2025-07-17T00:00+08:00,27,30,75,9,180,996
2025-07-17T01:00+08:00,23,30,76,9,180,996
2025-07-17T02:00+08:00,21,29,81,9,225,995
2025-07-17T03:00+08:00,21,29,84,5,135,995
2025-07-17T04:00+08:00,19,28,89,5,0,995
2025-07-17T05:00+08:00,19,27,92,4,0,995
2025-07-17T06:00+08:00,23,27,93,3,315,996
2025-07-17T07:00+08:00,22,28,91,3,45,996
2025-07-17T08:00+08:00,19,29,81,16,180,996
2025-07-17T09:00+08:00,17,31,76,7,180,997
2025-07-17T10:00+08:00,17,32,72,7,225,997
2025-07-17T11:00+08:00,15,33,65,2,135,997
2025-07-17T12:00+08:00,14,32,78,10,0,996
