observation_time,no2,temperature,humidity,wind_speed,wind_direction,pressure
2025-07-18T00:00+08:00,26,30,76,4,270,990
2025-07-18T01:00+08:00,24,30,79,4,225,989
2025-07-18T02:00+08:00,31,29,83,3,45,989
2025-07-18T03:00+08:00,32,29,84,1,45,988
2025-07-18T04:00+08:00,23,29,85,11,90,989
2025-07-18T05:00+08:00,13,28,84,15,135,988
2025-07-18T06:00+08:00,11,28,86,2,0,989
2025-07-18T07:00+08:00,15,28,92,7,315,989
2025-07-18T08:00+08:00,21,29,86,2,225,989
2025-07-18T09:00+08:00,23,31,81,8,45,990
2025-07-18T10:00+08:00,22,31,76,6,135,989
2025-07-18T11:00+08:00,18,28,78,8,90,988
2025-07-18T12:00+08:00,12,31,74,7,225,988
2025-07-18T13:00+08:00,12,31,76,7,270,987
2025-07-18T14:00+08:00,15,27,88,21,315,988
2025-07-18T15:00+08:00,12,25,95,7,225,986
2025-07-18T16:00+08:00,14,26,94,7,315,986
2025-07-18T17:00+08:00,18,27,92,8,315,985
2025-07-18T18:00+08:00,20,27,87,10,270,985
2025-07-18T19:00+08:00,27,27,88,7,225,986
2025-07-18T20:00+08:00,29,27,88,3,180,987
2025-07-18T21:00+08:00,33,26,93,5,315,988
2025-07-18T22:00+08:00,35,26,91,6,45,988
2025-07-18T23:00+08:00,23,27,89,7,315,987
2025-07-17T00:00+08:00,21,29,87,5,315,992
2025-07-17T01:00+08:00,21,28,89,0,0,992
2025-07-17T02:00+08:00,23,28,88,3,45,991
2025-07-17T03:00+08:00,23,27,94,7,315,991
2025-07-17T04:00+08:00,30,27,91,8,315,991
2025-07-17T05:00+08:00,26,27,89,6,270,991
2025-07-17T06:00+08:00,25,28,90,4,180,992
2025-07-17T07:00+08:00,22,28,87,3,135,992
2025-07-17T08:00+08:00,20,30,83,5,180,992
2025-07-17T09:00+08:00,18,30,76,19,225,993
2025-07-17T10:00+08:00,15,32,72,16,315,993
2025-07-17T11:00+08:00,11,32,68,8,270,993
2025-07-17T12:00+08:00,10,33,68,10,270,992
2025-07-17T13:00+08:00,9,34,67,9,315,991
2025-07-17T14:00+08:00,9,35,64,16,315,990
2025-07-17T15:00+08:00,10,36,59,7,315,990
2025-07-17T16:00+08:00,11,35,59,14,315,989
2025-07-17T17:00+08:00,11,34,62,23,315,988
2025-07-17T18:00+08:00,16,32,72,12,315,988
2025-07-17T19:00+08:00,18,32,72,7,270,989
2025-07-17T20:00+08:00,20,32,67,5,270,990
2025-07-17T21:00+08:00,21,31,73,5,315,990
2025-07-17T22:00+08:00,25,31,72,3,225,990
2025-07-17T23:00+08:00,26,30,81,3,270,990
2025-07-16T00:00+08:00,27,29,81,8,180,992
2025-07-16T01:00+08:00,25,28,84,3,315,992
2025-07-16T02:00+08:00,25,27,85,5,315,991
2025-07-16T03:00+08:00,25,27,87,4,0,991
2025-07-16T04:00+08:00,23,27,89,5,225,991
2025-07-16T05:00+08:00,22,27,89,9,270,991
2025-07-16T06:00+08:00,21,27,87,2,270,991
2025-07-16T07:00+08:00,17,28,83,4,315,992
2025-07-16T08:00+08:00,15,29,83,5,315,993
2025-07-16T09:00+08:00,13,30,77,17,270,993
2025-07-16T10:00+08:00,11,31,73,15,270,993
2025-07-16T11:00+08:00,12,32,69,22,270,993
2025-07-16T12:00+08:00,8,32,66,19,315,992
2025-07-16T13:00+08:00,7,34,61,15,315,992
2025-07-16T14:00+08:00,8,34,63,19,270,991
2025-07-16T15:00+08:00,8,35,59,17,315,991
2025-07-16T16:00+08:00,10,35,61,10,270,990
2025-07-16T17:00+08:00,10,35,58,7,315,990
2025-07-16T18:00+08:00,14,33,70,10,180,990
2025-07-16T19:00+08:00,16,32,72,8,135,990
2025-07-16T20:00+08:00,17,31,74,8,135,991
2025-07-16T21:00+08:00,18,31,77,7,135,991
2025-07-16T22:00+08:00,19,30,78,9,135,991
2025-07-16T23:00+08:00,21,30,81,6,135,992
2025-07-15T00:00+08:00,20,28,86,9,135,991
2025-07-15T01:00+08:00,22,28,88,4,45,991
2025-07-15T02:00+08:00,22,27,93,0,0,991
2025-07-15T03:00+08:00,22,27,94,3,225,991
2025-07-15T04:00+08:00,25,28,89,5,135,991
2025-07-15T05:00+08:00,22,27,91,4,0,991
2025-07-15T06:00+08:00,25,27,93,0,0,991
2025-07-15T07:00+08:00,23,28,90,4,225,991
2025-07-15T08:00+08:00,19,28,85,10,270,991
2025-07-15T09:00+08:00,16,29,85,8,270,992
2025-07-15T10:00+08:00,16,29,85,10,270,992
2025-07-15T11:00+08:00,16,30,81,16,225,992
2025-07-15T12:00+08:00,14,31,76,9,270,992
2025-07-15T13:00+08:00,12,33,64,23,225,991
2025-07-15T14:00+08:00,10,33,63,9,180,990
2025-07-15T15:00+08:00,10,34,60,15,270,990
2025-07-15T16:00+08:00,11,34,64,12,315,989
2025-07-15T17:00+08:00,13,32,69,11,180,989
2025-07-15T18:00+08:00,17,31,73,11,225,989
2025-07-15T19:00+08:00,19,31,74,8,180,989
2025-07-15T20:00+08:00,22,30,73,6,225,990
2025-07-15T21:00+08:00,22,29,83,3,270,990
2025-07-15T22:00+08:00,24,28,80,0,0,991
2025-07-15T23:00+08:00,23,29,80,8,135,992
2025-07-14T00:00+08:00,13,26,95,2,180,995
2025-07-14T01:00+08:00,13,26,95,4,180,994
2025-07-14T02:00+08:00,14,26,96,5,45,993
2025-07-14T03:00+08:00,15,26,96,3,45,992
2025-07-14T04:00+08:00,18,26,97,5,45,992
2025-07-14T05:00+08:00,18,26,97,0,0,992
2025-07-14T06:00+08:00,19,26,97,4,135,993
2025-07-14T07:00+08:00,18,27,97,2,90,993
2025-07-14T08:00+08:00,16,28,90,3,90,994
2025-07-14T09:00+08:00,17,29,85,6,270,994
2025-07-14T10:00+08:00,14,31,76,7,90,994
2025-07-14T11:00+08:00,11,32,69,8,270,993
2025-07-14T12:00+08:00,9,32,67,10,270,993
2025-07-14T13:00+08:00,8,33,66,14,315,992
2025-07-14T14:00+08:00,8,33,64,7,315,991
2025-07-14T15:00+08:00,9,34,63,7,0,991
2025-07-14T16:00+08:00,11,34,63,7,315,990
2025-07-14T17:00+08:00,12,31,73,14,135,989
2025-07-14T18:00+08:00,12,31,76,12,135,989
2025-07-14T19:00+08:00,12,30,80,9,135,990
2025-07-14T20:00+08:00,14,30,82,11,135,990
2025-07-14T21:00+08:00,14,30,82,1,225,992
2025-07-14T22:00+08:00,18,29,82,5,135,992
2025-07-14T23:00+08:00,18,29,84,9,135,992
2025-07-13T00:00+08:00,17,27,93,0,0,994
2025-07-13T01:00+08:00,16,26,93,5,135,994
2025-07-13T02:00+08:00,18,26,94,3,45,994
2025-07-13T03:00+08:00,12,26,95,3,45,994
2025-07-13T04:00+08:00,16,26,95,3,45,994
2025-07-13T05:00+08:00,11,26,95,3,135,994
2025-07-13T06:00+08:00,19,26,96,3,45,994
2025-07-13T07:00+08:00,17,27,94,5,135,994
2025-07-13T08:00+08:00,15,29,85,4,135,995
2025-07-13T09:00+08:00,12,30,79,3,135,995
2025-07-13T10:00+08:00,10,31,77,7,0,995
2025-07-13T11:00+08:00,8,32,69,10,135,995
2025-07-13T12:00+08:00,6,33,62,9,180,994
2025-07-13T13:00+08:00,5,32,68,5,45,994
2025-07-13T14:00+08:00,4,30,85,4,90,993
2025-07-13T15:00+08:00,5,28,88,13,315,993
2025-07-13T16:00+08:00,7,30,85,4,315,992
2025-07-13T17:00+08:00,10,30,81,11,90,992
2025-07-13T18:00+08:00,12,27,94,5,0,992
2025-07-13T19:00+08:00,9,27,94,6,45,993
2025-07-13T20:00+08:00,9,25,95,4,135,994
2025-07-13T21:00+08:00,10,25,95,2,45,994
2025-07-13T22:00+08:00,13,26,95,4,45,994
2025-07-13T23:00+08:00,12,26,95,2,315,994
2025-07-12T00:00+08:00,15,26,96,0,0,991
2025-07-12T01:00+08:00,17,25,96,5,45,991
2025-07-12T02:00+08:00,19,25,97,3,45,990
2025-07-12T03:00+08:00,18,25,97,2,45,990
2025-07-12T04:00+08:00,15,25,97,0,0,990
2025-07-12T05:00+08:00,13,25,97,4,90,991
2025-07-12T06:00+08:00,15,26,97,0,0,991
2025-07-12T07:00+08:00,19,26,97,4,90,992
2025-07-12T08:00+08:00,19,26,97,3,45,992
2025-07-12T09:00+08:00,15,28,88,7,90,993
2025-07-12T10:00+08:00,14,29,84,5,135,993
2025-07-12T11:00+08:00,9,29,82,7,135,994
2025-07-12T12:00+08:00,8,28,90,8,225,993
2025-07-12T13:00+08:00,6,29,83,9,225,993
2025-07-12T14:00+08:00,5,30,79,9,90,993
2025-07-12T15:00+08:00,5,29,79,10,180,993
2025-07-12T16:00+08:00,6,29,82,7,135,992
2025-07-12T17:00+08:00,8,29,82,12,135,993
2025-07-12T18:00+08:00,9,28,83,8,135,993
2025-07-12T19:00+08:00,10,28,85,3,90,993
2025-07-12T20:00+08:00,15,28,86,6,90,994
2025-07-12T21:00+08:00,16,28,87,4,180,994
2025-07-12T22:00+08:00,18,27,90,6,135,995
2025-07-12T23:00+08:00,18,27,92,7,135,995
2025-07-11T00:00+08:00,8,25,93,12,45,985
2025-07-11T01:00+08:00,7,25,94,9,0,985
2025-07-11T02:00+08:00,6,25,96,8,45,984
2025-07-11T03:00+08:00,5,24,96,8,0,984
2025-07-11T04:00+08:00,7,25,96,5,45,983
2025-07-11T05:00+08:00,5,25,97,5,45,984
2025-07-11T06:00+08:00,10,24,97,16,90,984
2025-07-11T07:00+08:00,12,24,97,3,0,985
2025-07-11T08:00+08:00,15,24,97,9,45,985
2025-07-11T09:00+08:00,14,24,97,9,0,986
2025-07-11T10:00+08:00,14,25,97,4,45,986
2025-07-11T11:00+08:00,17,25,97,10,45,986
2025-07-11T12:00+08:00,14,26,96,8,45,987
2025-07-11T13:00+08:00,13,26,96,5,0,987
2025-07-11T14:00+08:00,12,25,96,10,0,987
2025-07-11T15:00+08:00,15,25,97,4,270,987
2025-07-11T16:00+08:00,12,26,95,7,315,987
2025-07-11T17:00+08:00,16,26,95,4,0,987
2025-07-11T18:00+08:00,20,26,94,2,315,987
2025-07-11T19:00+08:00,19,26,95,4,45,988
2025-07-11T20:00+08:00,17,26,95,8,45,989
2025-07-11T21:00+08:00,16,26,95,7,45,990
2025-07-11T22:00+08:00,16,26,96,6,45,990
2025-07-11T23:00+08:00,17,26,95,5,45,991
2025-07-10T00:00+08:00,12,27,79,43,270,986
2025-07-10T01:00+08:00,13,26,84,14,270,986
2025-07-10T02:00+08:00,13,25,89,5,315,985
2025-07-10T03:00+08:00,14,25,95,12,270,984
2025-07-10T04:00+08:00,14,25,95,8,225,984
2025-07-10T05:00+08:00,15,25,95,5,270,984
2025-07-10T06:00+08:00,17,25,95,2,270,984
2025-07-10T07:00+08:00,19,25,96,5,270,984
2025-07-10T08:00+08:00,22,25,96,8,315,984
2025-07-10T09:00+08:00,21,26,96,11,315,984
2025-07-10T10:00+08:00,22,26,95,8,315,984
2025-07-10T11:00+08:00,23,27,93,5,270,984
2025-07-10T12:00+08:00,25,27,93,7,315,984
2025-07-10T13:00+08:00,22,27,93,7,270,984
2025-07-10T14:00+08:00,17,26,95,5,270,983
2025-07-10T15:00+08:00,14,27,91,3,270,983
2025-07-10T16:00+08:00,16,24,96,18,45,983
2025-07-10T17:00+08:00,11,25,96,5,180,983
2025-07-10T18:00+08:00,12,25,96,10,315,983
2025-07-10T19:00+08:00,14,25,96,5,315,983
2025-07-10T20:00+08:00,16,25,96,9,0,984
2025-07-10T21:00+08:00,13,25,92,13,315,984
2025-07-10T22:00+08:00,9,25,91,20,45,985
2025-07-10T23:00+08:00,8,25,94,12,0,985
2025-07-09T00:00+08:00,26,29,78,16,225,990
2025-07-09T01:00+08:00,24,29,81,17,225,990
2025-07-09T02:00+08:00,25,29,84,10,270,989
2025-07-09T03:00+08:00,19,28,84,12,270,989
2025-07-09T04:00+08:00,18,28,84,13,225,989
2025-07-09T05:00+08:00,17,28,85,13,270,989
2025-07-09T06:00+08:00,19,28,86,8,270,989
2025-07-09T07:00+08:00,19,28,87,8,270,989
2025-07-09T08:00+08:00,20,29,84,5,315,989
2025-07-09T09:00+08:00,18,29,83,5,315,990
2025-07-09T10:00+08:00,16,31,74,17,270,989
2025-07-09T11:00+08:00,13,32,70,14,270,989
2025-07-09T12:00+08:00,13,33,64,18,270,988
2025-07-09T13:00+08:00,11,34,64,16,0,987
2025-07-09T14:00+08:00,9,34,62,21,315,986
2025-07-09T15:00+08:00,10,34,60,17,270,985
2025-07-09T16:00+08:00,12,35,56,20,315,985
2025-07-09T17:00+08:00,11,34,59,8,270,984
2025-07-09T18:00+08:00,13,33,64,6,270,984
2025-07-09T19:00+08:00,14,31,66,16,270,984
2025-07-09T20:00+08:00,14,29,71,6,270,985
2025-07-09T21:00+08:00,19,30,76,5,180,986
2025-07-09T22:00+08:00,23,27,81,14,180,986
2025-07-09T23:00+08:00,15,26,85,13,270,986
