observation_time,no2,temperature,humidity,wind_speed,wind_direction,pressure
2025-07-18T00:00+08:00,20,31,82,9,270,998
2025-07-18T01:00+08:00,19,30,84,7,270,997
2025-07-18T02:00+08:00,14,30,85,8,270,997
2025-07-18T03:00+08:00,14,30,85,8,270,996
2025-07-18T04:00+08:00,11,30,85,11,270,997
2025-07-18T05:00+08:00,10,29,87,13,315,997
2025-07-18T06:00+08:00,12,29,88,10,270,997
2025-07-18T07:00+08:00,16,29,88,13,270,997
2025-07-18T08:00+08:00,14,30,87,7,315,998
2025-07-18T09:00+08:00,12,31,85,12,270,998
2025-07-18T10:00+08:00,15,32,78,8,270,997
2025-07-18T11:00+08:00,12,34,68,15,315,996
2025-07-18T12:00+08:00,8,34,58,15,315,996
2025-07-18T13:00+08:00,9,33,62,7,0,995
2025-07-18T14:00+08:00,14,32,68,23,90,995
2025-07-18T15:00+08:00,22,28,90,14,180,995
2025-07-18T16:00+08:00,14,29,85,7,270,994
2025-07-18T17:00+08:00,18,29,79,22,225,994
2025-07-18T18:00+08:00,11,28,85,9,225,994
2025-07-18T19:00+08:00,9,27,90,10,315,994
2025-07-18T20:00+08:00,12,26,91,7,225,995
2025-07-18T21:00+08:00,18,27,89,16,45,995
2025-07-18T22:00+08:00,22,27,86,10,45,995
2025-07-18T23:00+08:00,21,27,88,8,0,996
2025-07-17T00:00+08:00,8,29,84,13,270,1001
2025-07-17T01:00+08:00,7,29,85,18,270,1000
2025-07-17T02:00+08:00,6,29,88,11,270,999
2025-07-17T03:00+08:00,5,28,89,16,225,999
2025-07-17T04:00+08:00,5,28,89,13,225,999
2025-07-17T05:00+08:00,6,28,90,11,270,999
2025-07-17T06:00+08:00,7,28,92,9,270,1000
2025-07-17T07:00+08:00,11,29,88,5,225,1000
2025-07-17T08:00+08:00,12,30,82,9,270,1000
2025-07-17T09:00+08:00,9,31,77,17,270,1001
2025-07-17T10:00+08:00,6,32,72,17,225,1001
2025-07-17T11:00+08:00,5,33,69,13,315,1001
2025-07-17T12:00+08:00,6,34,62,12,270,1000
2025-07-17T13:00+08:00,6,35,59,8,270,1000
2025-07-17T14:00+08:00,7,34,58,10,270,999
2025-07-17T15:00+08:00,6,35,56,8,270,998
2025-07-17T16:00+08:00,7,36,54,12,270,997
