observation_time,no2,temperature,humidity,wind_speed,wind_direction,pressure
2025-07-18T00:00+08:00,36,29,84,3,225,995
2025-07-18T01:00+08:00,33,29,85,5,180,994
2025-07-18T02:00+08:00,32,29,84,3,180,994
2025-07-18T03:00+08:00,32,29,84,4,270,993
2025-07-18T04:00+08:00,32,29,83,3,270,994
2025-07-18T05:00+08:00,24,29,84,3,180,994
2025-07-18T06:00+08:00,20,29,86,2,135,994
2025-07-18T07:00+08:00,21,29,87,5,225,994
2025-07-18T08:00+08:00,24,30,82,6,180,994
2025-07-18T09:00+08:00,26,31,83,7,225,994
2025-07-18T10:00+08:00,27,31,86,5,180,994
2025-07-18T11:00+08:00,24,27,91,25,0,994
2025-07-18T12:00+08:00,13,24,90,7,45,994
2025-07-18T13:00+08:00,15,24,96,14,45,992
2025-07-18T14:00+08:00,20,25,94,0,0,993
2025-07-18T15:00+08:00,24,25,91,5,135,992
2025-07-18T16:00+08:00,30,25,93,4,315,991
2025-07-18T17:00+08:00,34,26,91,14,225,991
2025-07-18T18:00+08:00,38,27,89,5,180,991
2025-07-18T19:00+08:00,39,26,88,4,180,991
2025-07-18T20:00+08:00,40,26,89,6,135,992
2025-07-18T21:00+08:00,41,26,90,3,135,992
2025-07-18T22:00+08:00,44,26,90,5,45,992
2025-07-18T23:00+08:00,41,26,89,2,135,992
2025-07-17T00:00+08:00,18,29,84,15,225,998
2025-07-17T01:00+08:00,19,29,85,16,225,997
2025-07-17T02:00+08:00,19,29,86,12,225,997
2025-07-17T03:00+08:00,19,28,87,5,270,996
2025-07-17T04:00+08:00,17,28,87,17,225,996
2025-07-17T05:00+08:00,15,28,88,12,225,996
2025-07-17T06:00+08:00,15,28,89,6,225,997
2025-07-17T07:00+08:00,15,29,86,15,225,997
2025-07-17T08:00+08:00,14,29,82,12,225,997
2025-07-17T09:00+08:00,13,31,78,10,225,998
2025-07-17T10:00+08:00,12,31,76,8,180,998
2025-07-17T11:00+08:00,12,32,75,13,180,998
2025-07-17T12:00+08:00,11,32,70,15,225,997
2025-07-17T13:00+08:00,9,33,64,10,135,997
2025-07-17T14:00+08:00,8,34,64,7,225,996
2025-07-17T15:00+08:00,12,34,64,9,180,995
2025-07-17T16:00+08:00,10,33,66,16,225,994
2025-07-17T17:00+08:00,14,33,71,10,180,994
2025-07-17T18:00+08:00,18,31,76,12,225,994
