observation_time,no2,temperature,humidity,wind_speed,wind_direction,pressure
2025-07-18T00:00+08:00,20,31,84,17,225,998
2025-07-18T01:00+08:00,19,30,85,16,225,998
2025-07-18T02:00+08:00,17,30,86,15,270,998
2025-07-18T03:00+08:00,13,30,87,12,225,1000
2025-07-18T04:00+08:00,13,30,87,12,270,998
2025-07-18T05:00+08:00,14,30,85,12,270,998
2025-07-18T06:00+08:00,13,30,84,10,225,1001
2025-07-18T07:00+08:00,11,30,85,10,270,998
2025-07-18T08:00+08:00,9,31,83,10,315,998
2025-07-18T09:00+08:00,9,31,80,11,315,998
2025-07-18T10:00+08:00,9,32,76,10,315,998
2025-07-18T11:00+08:00,10,33,73,10,315,998
2025-07-18T12:00+08:00,11,33,71,12,225,998
2025-07-18T13:00+08:00,12,33,71,12,225,998
2025-07-18T14:00+08:00,10,32,75,13,180,998
2025-07-18T15:00+08:00,18,32,75,13,180,998
2025-07-18T16:00+08:00,20,32,74,13,90,998
2025-07-18T17:00+08:00,13,32,74,14,135,998
2025-07-18T18:00+08:00,12,31,75,15,225,998
2025-07-18T19:00+08:00,14,31,78,14,180,998
2025-07-18T20:00+08:00,17,30,79,13,180,998
2025-07-18T21:00+08:00,20,27,86,6,315,998
2025-07-18T22:00+08:00,19,29,82,9,180,998
2025-07-18T23:00+08:00,19,29,84,9,270,998
2025-07-17T00:00+08:00,4,29,89,16,225,998
2025-07-17T01:00+08:00,4,29,90,16,225,998
2025-07-17T02:00+08:00,4,29,90,16,225,998
2025-07-17T03:00+08:00,4,30,87,14,225,1003
2025-07-17T04:00+08:00,6,29,90,15,225,998
2025-07-17T05:00+08:00,5,30,86,14,225,998
2025-07-17T06:00+08:00,6,30,88,14,225,998
2025-07-17T07:00+08:00,7,30,85,13,225,998
2025-07-17T08:00+08:00,5,31,81,12,225,998
2025-07-17T09:00+08:00,5,31,80,13,225,998
2025-07-17T10:00+08:00,6,32,77,12,225,1004
2025-07-17T11:00+08:00,5,32,73,13,225,998
2025-07-17T12:00+08:00,5,33,71,14,225,998
2025-07-17T13:00+08:00,5,34,69,16,225,998
2025-07-17T14:00+08:00,7,34,69,16,225,998
2025-07-17T15:00+08:00,11,34,68,18,225,998
2025-07-17T16:00+08:00,10,34,69,17,225,998
2025-07-17T17:00+08:00,7,33,72,17,225,998
2025-07-17T18:00+08:00,11,32,76,17,225,998
2025-07-17T19:00+08:00,11,32,76,17,225,998
2025-07-17T20:00+08:00,10,32,77,17,225,998
2025-07-17T21:00+08:00,11,31,81,16,225,998
2025-07-17T22:00+08:00,16,31,82,17,225,998
2025-07-17T23:00+08:00,19,31,82,17,225,998
2025-07-16T00:00+08:00,4,29,87,21,225,998
2025-07-16T01:00+08:00,4,29,89,18,225,1004
2025-07-16T02:00+08:00,3,29,90,19,225,998
2025-07-16T03:00+08:00,3,29,91,18,225,998
2025-07-16T04:00+08:00,3,29,91,19,225,998
2025-07-16T05:00+08:00,4,29,87,12,315,998
2025-07-16T06:00+08:00,4,28,90,16,225,1003
2025-07-16T07:00+08:00,5,28,90,16,225,1003
2025-07-16T08:00+08:00,6,30,86,18,225,998
2025-07-16T09:00+08:00,6,31,80,18,225,998
2025-07-16T10:00+08:00,7,31,79,19,225,998
2025-07-16T11:00+08:00,7,31,79,19,225,998
2025-07-16T12:00+08:00,6,32,74,20,225,1005
2025-07-16T13:00+08:00,4,32,75,21,225,998
2025-07-16T14:00+08:00,4,33,71,23,225,998
2025-07-16T15:00+08:00,6,33,70,18,225,998
2025-07-16T16:00+08:00,6,33,70,18,225,998
2025-07-16T17:00+08:00,8,32,73,18,225,998
2025-07-16T18:00+08:00,7,32,73,18,225,998
2025-07-16T19:00+08:00,7,31,81,18,225,998
2025-07-16T20:00+08:00,7,31,81,18,225,998
2025-07-16T21:00+08:00,8,30,86,17,225,998
2025-07-16T22:00+08:00,6,30,87,16,225,998
2025-07-16T23:00+08:00,5,29,87,15,225,1004
2025-07-15T00:00+08:00,8,28,89,16,225,1004
2025-07-15T01:00+08:00,6,28,90,16,225,1004
2025-07-15T02:00+08:00,6,29,89,20,225,998
2025-07-15T03:00+08:00,8,28,90,18,225,1003
2025-07-15T04:00+08:00,4,28,90,17,225,1003
2025-07-15T05:00+08:00,4,28,89,17,225,1002
2025-07-15T06:00+08:00,5,29,88,19,225,998
2025-07-15T07:00+08:00,7,29,85,18,225,998
2025-07-15T08:00+08:00,8,30,82,19,225,998
2025-07-15T09:00+08:00,7,30,82,19,225,998
2025-07-15T10:00+08:00,5,31,78,22,225,998
2025-07-15T11:00+08:00,6,31,77,23,225,998
2025-07-15T12:00+08:00,6,31,76,22,225,1004
2025-07-15T13:00+08:00,6,31,76,23,225,998
2025-07-15T14:00+08:00,5,31,76,23,225,998
2025-07-15T15:00+08:00,7,31,76,23,225,998
2025-07-15T16:00+08:00,9,31,77,21,225,998
2025-07-15T17:00+08:00,10,31,77,21,225,998
2025-07-15T18:00+08:00,10,31,80,21,225,998
2025-07-15T19:00+08:00,8,31,80,21,225,998
2025-07-15T20:00+08:00,7,30,84,21,225,998
2025-07-15T21:00+08:00,6,29,86,21,225,998
2025-07-15T22:00+08:00,7,29,86,21,225,998
2025-07-15T23:00+08:00,5,29,87,21,225,998
