observation_time,no2,temperature,humidity,wind_speed,wind_direction,pressure
2025-07-18T00:00+08:00,16,30,81,9,225,996
2025-07-18T01:00+08:00,16,30,83,9,225,996
2025-07-18T02:00+08:00,15,30,84,13,225,995
2025-07-18T03:00+08:00,12,30,84,15,225,995
2025-07-18T04:00+08:00,11,30,85,6,180,995
2025-07-18T05:00+08:00,12,30,85,12,225,995
2025-07-18T06:00+08:00,12,30,86,8,225,996
2025-07-18T07:00+08:00,11,30,86,5,270,995
2025-07-18T08:00+08:00,9,31,84,6,315,996
2025-07-18T09:00+08:00,10,32,79,5,225,995
2025-07-18T10:00+08:00,10,34,71,7,270,995
2025-07-18T11:00+08:00,10,33,77,17,90,995
2025-07-18T12:00+08:00,10,29,92,17,90,995
2025-07-18T13:00+08:00,13,27,94,12,45,994
2025-07-18T14:00+08:00,12,26,93,3,315,994
2025-07-18T15:00+08:00,15,27,94,14,225,994
2025-07-18T16:00+08:00,17,27,91,7,225,993
2025-07-18T17:00+08:00,14,26,91,12,225,992
2025-07-18T18:00+08:00,13,27,91,13,225,992
2025-07-18T19:00+08:00,12,27,90,23,270,993
2025-07-18T20:00+08:00,14,27,79,7,0,993
2025-07-18T21:00+08:00,15,27,75,5,225,993
2025-07-18T22:00+08:00,16,27,73,6,0,994
2025-07-18T23:00+08:00,18,27,75,9,315,993
2025-07-17T00:00+08:00,5,29,82,6,225,999
2025-07-17T01:00+08:00,5,29,82,8,180,999
2025-07-17T02:00+08:00,5,29,84,11,180,998
2025-07-17T03:00+08:00,6,29,86,13,180,997
2025-07-17T04:00+08:00,6,29,86,7,225,997
2025-07-17T05:00+08:00,6,29,86,8,225,997
2025-07-17T06:00+08:00,6,28,87,7,225,998
2025-07-17T07:00+08:00,7,29,85,7,225,999
2025-07-17T08:00+08:00,6,30,79,9,180,999
2025-07-17T09:00+08:00,7,31,77,11,225,999
2025-07-17T10:00+08:00,7,32,73,7,270,999
2025-07-17T11:00+08:00,6,32,78,17,90,999
2025-07-17T12:00+08:00,6,32,75,17,135,999
2025-07-17T13:00+08:00,6,32,76,13,135,998
2025-07-17T14:00+08:00,7,32,75,17,90,998
2025-07-17T15:00+08:00,8,32,75,19,90,997
2025-07-17T16:00+08:00,8,33,75,13,90,996
2025-07-17T17:00+08:00,7,32,76,12,135,995
2025-07-17T18:00+08:00,9,32,77,8,90,995
2025-07-17T19:00+08:00,9,31,78,5,135,996
2025-07-17T20:00+08:00,10,31,78,10,180,996
2025-07-17T21:00+08:00,9,31,80,8,225,996
2025-07-17T22:00+08:00,14,31,81,5,225,997
2025-07-17T23:00+08:00,16,30,81,7,225,997
2025-07-16T00:00+08:00,5,29,82,14,225,998
2025-07-16T01:00+08:00,5,29,83,15,180,999
2025-07-16T02:00+08:00,4,29,83,9,180,998
2025-07-16T03:00+08:00,4,28,84,15,225,997
2025-07-16T04:00+08:00,4,28,84,10,225,998
2025-07-16T05:00+08:00,4,28,85,6,225,998
2025-07-16T06:00+08:00,5,28,86,9,225,998
2025-07-16T07:00+08:00,6,29,84,8,225,999
2025-07-16T08:00+08:00,7,30,82,18,225,999
2025-07-16T09:00+08:00,6,31,74,16,180,1000
2025-07-16T10:00+08:00,7,31,73,14,225,1000
2025-07-16T11:00+08:00,7,33,69,18,225,1000
2025-07-16T12:00+08:00,6,31,74,20,225,999
2025-07-16T13:00+08:00,5,33,65,12,225,999
2025-07-16T14:00+08:00,5,35,63,13,45,998
2025-07-16T15:00+08:00,6,31,78,22,90,998
2025-07-16T16:00+08:00,6,32,73,11,135,997
2025-07-16T17:00+08:00,7,33,69,14,180,997
2025-07-16T18:00+08:00,7,32,70,9,180,997
2025-07-16T19:00+08:00,8,31,73,17,225,997
2025-07-16T20:00+08:00,10,30,78,14,180,998
2025-07-16T21:00+08:00,9,29,81,11,225,998
2025-07-16T22:00+08:00,7,29,80,22,225,998
2025-07-16T23:00+08:00,6,29,80,20,180,999
2025-07-15T00:00+08:00,9,29,82,18,180,999
2025-07-15T01:00+08:00,8,29,83,18,270,999
2025-07-15T02:00+08:00,7,29,84,21,180,998
2025-07-15T03:00+08:00,8,29,84,17,225,998
2025-07-15T04:00+08:00,6,29,84,12,270,997
2025-07-15T05:00+08:00,5,29,84,14,225,997
2025-07-15T06:00+08:00,6,28,86,14,225,998
2025-07-15T07:00+08:00,8,29,85,10,225,998
2025-07-15T08:00+08:00,9,30,81,18,270,998
2025-07-15T09:00+08:00,8,30,76,20,225,998
2025-07-15T10:00+08:00,8,31,73,26,225,999
2025-07-15T11:00+08:00,8,31,75,16,225,999
2025-07-15T12:00+08:00,6,32,72,21,270,998
2025-07-15T13:00+08:00,6,33,71,12,225,998
2025-07-15T14:00+08:00,6,31,72,31,270,998
2025-07-15T15:00+08:00,8,29,80,10,270,997
2025-07-15T16:00+08:00,9,30,78,11,225,997
2025-07-15T17:00+08:00,10,30,77,13,225,996
2025-07-15T18:00+08:00,10,30,78,13,180,996
2025-07-15T19:00+08:00,7,30,75,14,180,996
