observation_time,no2,temperature,humidity,wind_speed,wind_direction,pressure
2025-07-18T00:00+08:00,27,30,79,9,270,995
2025-07-18T01:00+08:00,22,29,85,10,270,994
2025-07-18T02:00+08:00,26,28,88,9,270,994
2025-07-18T03:00+08:00,24,28,88,5,315,994
2025-07-18T04:00+08:00,27,28,87,7,225,994
2025-07-18T05:00+08:00,27,28,90,8,270,994
2025-07-18T06:00+08:00,24,28,91,8,270,995
2025-07-18T07:00+08:00,26,28,89,12,270,995
2025-07-18T08:00+08:00,23,29,85,12,270,995
2025-07-18T09:00+08:00,26,30,78,8,270,995
2025-07-18T10:00+08:00,17,32,74,13,270,995
2025-07-18T11:00+08:00,15,33,66,17,315,994
2025-07-18T12:00+08:00,9,34,63,14,315,994
2025-07-18T13:00+08:00,7,34,61,18,315,992
2025-07-18T14:00+08:00,9,33,73,10,0,992
2025-07-18T15:00+08:00,9,34,61,4,0,991
2025-07-18T16:00+08:00,8,34,65,7,90,991
2025-07-18T17:00+08:00,10,34,65,25,135,990
2025-07-18T18:00+08:00,12,25,84,41,270,992
2025-07-18T19:00+08:00,14,24,91,6,135,993
2025-07-18T20:00+08:00,15,25,94,4,45,992
2025-07-18T21:00+08:00,17,25,90,10,315,992
2025-07-18T22:00+08:00,21,26,87,4,135,993
2025-07-18T23:00+08:00,29,25,94,4,315,993
2025-07-17T00:00+08:00,14,29,81,7,135,998
2025-07-17T01:00+08:00,14,29,86,5,135,997
2025-07-17T02:00+08:00,14,28,88,5,135,997
2025-07-17T03:00+08:00,15,28,89,4,90,996
2025-07-17T04:00+08:00,15,28,90,5,135,996
2025-07-17T05:00+08:00,16,27,92,3,135,996
2025-07-17T06:00+08:00,13,27,94,4,135,997
2025-07-17T07:00+08:00,14,28,91,7,270,997
2025-07-17T08:00+08:00,16,29,86,12,270,998
2025-07-17T09:00+08:00,14,30,79,8,270,998
2025-07-17T10:00+08:00,14,31,73,3,270,998
2025-07-17T11:00+08:00,10,32,71,10,270,998
2025-07-17T12:00+08:00,7,33,64,9,315,998
2025-07-17T13:00+08:00,6,34,57,17,315,997
2025-07-17T14:00+08:00,5,36,55,17,315,996
2025-07-17T15:00+08:00,6,35,51,17,315,996
2025-07-17T16:00+08:00,6,35,55,13,270,995
2025-07-17T17:00+08:00,5,35,53,11,315,994
2025-07-17T18:00+08:00,7,34,55,11,270,994
2025-07-17T19:00+08:00,11,33,62,8,270,994
2025-07-17T20:00+08:00,13,32,66,4,270,995
2025-07-17T21:00+08:00,14,32,74,7,225,995
2025-07-17T22:00+08:00,23,31,80,6,225,996
2025-07-17T23:00+08:00,26,30,82,7,270,996
2025-07-16T00:00+08:00,15,29,84,7,135,997
2025-07-16T01:00+08:00,14,28,84,6,180,997
2025-07-16T02:00+08:00,14,28,86,8,180,996
2025-07-16T03:00+08:00,13,28,87,2,180,996
2025-07-16T04:00+08:00,14,27,90,3,90,996
2025-07-16T05:00+08:00,17,27,90,2,270,996
2025-07-16T06:00+08:00,21,27,93,5,180,997
2025-07-16T07:00+08:00,19,28,91,4,90,997
2025-07-16T08:00+08:00,18,29,83,8,270,998
2025-07-16T09:00+08:00,14,30,78,11,270,998
2025-07-16T10:00+08:00,11,31,72,7,225,998
2025-07-16T11:00+08:00,10,32,67,5,270,998
2025-07-16T12:00+08:00,10,34,64,6,225,998
2025-07-16T13:00+08:00,8,34,63,7,270,997
2025-07-16T14:00+08:00,8,35,62,5,90,997
2025-07-16T15:00+08:00,6,36,53,10,270,996
2025-07-16T16:00+08:00,6,36,53,7,180,995
2025-07-16T17:00+08:00,6,35,57,12,180,995
2025-07-16T18:00+08:00,8,35,60,10,180,995
2025-07-16T19:00+08:00,7,33,66,12,180,995
2025-07-16T20:00+08:00,9,32,69,10,180,995
2025-07-16T21:00+08:00,8,32,71,15,180,996
2025-07-16T22:00+08:00,11,31,75,13,225,997
2025-07-16T23:00+08:00,15,30,79,4,135,997
2025-07-15T00:00+08:00,29,28,90,4,135,997
2025-07-15T01:00+08:00,26,28,92,5,135,997
2025-07-15T02:00+08:00,25,28,87,12,225,997
2025-07-15T03:00+08:00,22,28,89,2,270,997
2025-07-15T04:00+08:00,20,28,89,4,225,996
2025-07-15T05:00+08:00,20,27,89,0,0,996
2025-07-15T06:00+08:00,22,27,94,4,225,996
2025-07-15T07:00+08:00,19,27,92,5,270,997
2025-07-15T08:00+08:00,17,28,86,7,225,997
2025-07-15T09:00+08:00,17,30,76,13,270,998
2025-07-15T10:00+08:00,13,31,73,11,225,997
2025-07-15T11:00+08:00,9,32,65,16,270,997
2025-07-15T12:00+08:00,8,32,67,13,270,997
2025-07-15T13:00+08:00,7,35,65,8,0,996
2025-07-15T14:00+08:00,6,34,58,12,270,995
2025-07-15T15:00+08:00,6,34,61,16,225,995
2025-07-15T16:00+08:00,6,33,64,17,180,995
2025-07-15T17:00+08:00,7,34,68,16,180,994
2025-07-15T18:00+08:00,8,33,71,20,180,994
2025-07-15T19:00+08:00,10,31,73,17,180,994
2025-07-15T20:00+08:00,12,30,75,10,180,995
2025-07-15T21:00+08:00,13,30,78,7,135,995
2025-07-15T22:00+08:00,13,29,83,6,180,996
2025-07-15T23:00+08:00,14,29,85,8,180,997
2025-07-14T00:00+08:00,19,28,87,5,90,999
2025-07-14T01:00+08:00,18,28,88,7,90,999
2025-07-14T02:00+08:00,21,27,89,5,180,998
2025-07-14T03:00+08:00,20,27,90,4,135,998
2025-07-14T04:00+08:00,23,27,92,4,135,998
2025-07-14T05:00+08:00,21,27,93,5,315,998
2025-07-14T06:00+08:00,20,27,94,7,270,998
2025-07-14T07:00+08:00,19,27,94,4,270,999
2025-07-14T08:00+08:00,18,28,89,5,270,999
2025-07-14T09:00+08:00,17,28,84,8,270,999
2025-07-14T10:00+08:00,18,30,77,8,270,999
2025-07-14T11:00+08:00,15,30,75,9,225,999
2025-07-14T12:00+08:00,11,32,72,13,270,998
2025-07-14T13:00+08:00,8,33,63,7,225,998
2025-07-14T14:00+08:00,6,35,59,12,180,997
2025-07-14T15:00+08:00,7,34,64,14,270,996
2025-07-14T16:00+08:00,7,33,63,10,270,995
2025-07-14T17:00+08:00,10,31,73,10,270,995
2025-07-14T18:00+08:00,12,31,75,12,270,995
2025-07-14T19:00+08:00,14,30,76,12,225,995
2025-07-14T20:00+08:00,14,30,77,7,270,996
2025-07-14T21:00+08:00,15,29,84,4,90,997
2025-07-14T22:00+08:00,17,29,87,7,135,997
2025-07-14T23:00+08:00,31,29,88,5,90,997
2025-07-13T00:00+08:00,24,27,93,8,90,999
2025-07-13T01:00+08:00,28,27,95,5,135,999
2025-07-13T02:00+08:00,29,27,94,4,135,999
2025-07-13T03:00+08:00,30,27,94,5,180,998
2025-07-13T04:00+08:00,27,26,95,5,90,999
2025-07-13T05:00+08:00,21,26,95,6,90,999
2025-07-13T06:00+08:00,17,26,95,5,90,999
2025-07-13T07:00+08:00,18,27,93,5,135,1000
2025-07-13T08:00+08:00,16,29,86,7,90,1000
2025-07-13T09:00+08:00,14,30,77,4,135,1000
2025-07-13T10:00+08:00,12,31,75,9,225,1000
2025-07-13T11:00+08:00,9,32,73,7,45,1000
2025-07-13T12:00+08:00,7,33,65,11,180,999
2025-07-13T13:00+08:00,6,33,67,8,135,999
2025-07-13T14:00+08:00,6,32,72,16,180,998
2025-07-13T15:00+08:00,7,31,73,18,180,998
2025-07-13T16:00+08:00,8,31,75,13,180,997
2025-07-13T17:00+08:00,9,31,71,11,225,997
2025-07-13T18:00+08:00,10,31,73,3,90,998
2025-07-13T19:00+08:00,11,29,78,13,135,997
2025-07-13T20:00+08:00,11,29,80,7,135,998
2025-07-13T21:00+08:00,14,29,79,9,135,999
2025-07-13T22:00+08:00,15,29,82,6,135,999
2025-07-13T23:00+08:00,18,28,84,5,180,1000
2025-07-12T00:00+08:00,28,26,91,7,225,996
2025-07-12T01:00+08:00,27,26,93,4,225,996
2025-07-12T02:00+08:00,23,26,94,6,270,996
2025-07-12T03:00+08:00,22,26,94,4,270,995
2025-07-12T04:00+08:00,23,26,92,4,270,996
2025-07-12T05:00+08:00,23,26,93,4,270,996
2025-07-12T06:00+08:00,22,26,93,4,270,997
2025-07-12T07:00+08:00,23,26,92,4,270,997
2025-07-12T08:00+08:00,23,27,89,2,45,998
2025-07-12T09:00+08:00,23,29,82,0,0,998
2025-07-12T10:00+08:00,27,30,77,9,45,998
2025-07-12T11:00+08:00,28,29,85,8,315,998
2025-07-12T12:00+08:00,23,28,88,10,0,998
2025-07-12T13:00+08:00,19,30,80,3,270,998
2025-07-12T14:00+08:00,17,32,73,5,90,997
2025-07-12T15:00+08:00,16,31,78,10,45,997
2025-07-12T16:00+08:00,17,31,76,8,135,997
2025-07-12T17:00+08:00,18,29,86,8,135,997
2025-07-12T18:00+08:00,18,28,84,21,90,997
2025-07-12T19:00+08:00,20,28,86,7,135,997
2025-07-12T20:00+08:00,23,28,89,7,135,998
2025-07-12T21:00+08:00,16,28,89,3,0,999
2025-07-12T22:00+08:00,18,27,91,6,90,999
2025-07-12T23:00+08:00,32,27,89,7,90,999
2025-07-11T00:00+08:00,29,26,93,16,270,991
2025-07-11T01:00+08:00,23,26,94,16,270,991
2025-07-11T02:00+08:00,22,26,92,9,270,990
2025-07-11T03:00+08:00,22,26,91,14,270,990
2025-07-11T04:00+08:00,19,26,93,16,270,990
2025-07-11T05:00+08:00,18,26,93,11,270,990
2025-07-11T06:00+08:00,15,26,92,10,270,990
2025-07-11T07:00+08:00,15,26,92,7,270,991
2025-07-11T08:00+08:00,15,27,89,11,270,991
2025-07-11T09:00+08:00,15,28,85,5,225,992
2025-07-11T10:00+08:00,14,28,78,4,315,992
2025-07-11T11:00+08:00,11,28,75,12,0,993
2025-07-11T12:00+08:00,12,28,79,8,45,993
2025-07-11T13:00+08:00,11,28,82,13,90,993
2025-07-11T14:00+08:00,7,29,73,19,45,993
2025-07-11T15:00+08:00,8,28,76,23,90,992
2025-07-11T16:00+08:00,8,29,75,16,45,992
2025-07-11T17:00+08:00,10,28,82,10,90,993
2025-07-11T18:00+08:00,10,28,81,5,90,993
2025-07-11T19:00+08:00,9,27,83,4,180,994
2025-07-11T20:00+08:00,10,27,84,2,0,995
2025-07-11T21:00+08:00,11,28,81,3,90,995
2025-07-11T22:00+08:00,11,27,87,3,45,996
2025-07-11T23:00+08:00,20,27,90,7,270,996
2025-07-10T00:00+08:00,19,25,94,4,45,992
2025-07-10T01:00+08:00,20,25,93,4,135,992
2025-07-10T02:00+08:00,16,25,94,3,180,991
2025-07-10T03:00+08:00,27,26,94,1,315,990
2025-07-10T04:00+08:00,28,26,94,6,270,990
2025-07-10T05:00+08:00,21,26,95,6,270,990
2025-07-10T06:00+08:00,25,26,94,8,270,990
2025-07-10T07:00+08:00,23,27,94,10,270,990
2025-07-10T08:00+08:00,23,27,92,14,270,990
2025-07-10T09:00+08:00,25,28,91,10,270,990
2025-07-10T10:00+08:00,19,30,80,16,315,990
2025-07-10T11:00+08:00,15,31,74,13,315,990
2025-07-10T12:00+08:00,11,32,70,7,270,990
2025-07-10T13:00+08:00,8,33,68,13,270,989
2025-07-10T14:00+08:00,6,33,65,13,0,988
2025-07-10T15:00+08:00,6,28,82,10,270,989
2025-07-10T16:00+08:00,14,27,92,5,225,989
2025-07-10T17:00+08:00,17,26,94,9,180,989
2025-07-10T18:00+08:00,17,26,91,4,225,990
2025-07-10T19:00+08:00,17,26,93,9,315,990
2025-07-10T20:00+08:00,13,26,92,13,270,990
2025-07-10T21:00+08:00,15,26,93,6,270,991
2025-07-10T22:00+08:00,28,26,94,11,270,991
2025-07-10T23:00+08:00,30,26,95,13,270,991
2025-07-09T00:00+08:00,20,27,89,5,90,996
2025-07-09T01:00+08:00,18,26,89,4,180,995
2025-07-09T02:00+08:00,17,26,90,6,135,995
2025-07-09T03:00+08:00,23,26,91,5,180,994
2025-07-09T04:00+08:00,23,26,91,5,90,994
2025-07-09T05:00+08:00,22,26,92,4,45,994
2025-07-09T06:00+08:00,25,26,91,5,225,995
2025-07-09T07:00+08:00,19,27,90,6,315,995
2025-07-09T08:00+08:00,18,27,84,11,270,995
2025-07-09T09:00+08:00,13,29,75,12,270,995
2025-07-09T10:00+08:00,13,31,68,13,270,995
2025-07-09T11:00+08:00,12,32,64,23,270,995
2025-07-09T12:00+08:00,10,33,62,8,315,994
2025-07-09T13:00+08:00,8,34,59,10,270,993
2025-07-09T14:00+08:00,6,35,57,10,270,992
2025-07-09T15:00+08:00,6,36,52,21,270,991
2025-07-09T16:00+08:00,6,35,55,11,225,990
2025-07-09T17:00+08:00,8,35,57,13,225,990
2025-07-09T18:00+08:00,7,34,57,13,225,989
2025-07-09T19:00+08:00,10,33,61,12,225,990
2025-07-09T20:00+08:00,13,32,68,9,225,991
2025-07-09T21:00+08:00,17,26,92,9,90,992
2025-07-09T22:00+08:00,9,25,94,5,315,992
2025-07-09T23:00+08:00,14,25,93,9,135,993
