observation_time,no2,temperature,humidity,wind_speed,wind_direction,pressure
2025-07-18T00:00+08:00,11,29,89,9,225,1002
2025-07-18T01:00+08:00,12,30,83,12,180,1002
2025-07-18T02:00+08:00,18,29,90,9,225,1001
2025-07-18T03:00+08:00,23,30,87,9,225,1002
2025-07-18T04:00+08:00,20,29,88,9,225,1002
2025-07-18T05:00+08:00,11,29,90,9,248,1002
2025-07-18T06:00+08:00,8,28,95,9,248,1002
2025-07-18T07:00+08:00,2,29,90,9,270,1003
2025-07-18T08:00+08:00,10,30,83,9,293,1003
2025-07-18T09:00+08:00,20,31,79,8,315,1002
2025-07-18T10:00+08:00,23,32,74,10,315,1002
2025-07-18T11:00+08:00,21,33,71,11,293,1001
2025-07-18T12:00+08:00,11,33,66,11,293,1001
2025-07-18T13:00+08:00,10,33,68,12,270,1001
2025-07-18T14:00+08:00,16,31,73,11,270,1001
2025-07-18T15:00+08:00,11,31,78,11,248,1002
2025-07-18T16:00+08:00,25,30,74,11,225,1002
2025-07-18T17:00+08:00,25,30,73,11,135,1002
2025-07-18T18:00+08:00,23,30,73,11,113,1002
2025-07-18T19:00+08:00,22,31,69,9,158,1002
2025-07-18T20:00+08:00,25,30,73,7,158,1002
2025-07-18T21:00+08:00,25,30,75,6,135,1002
2025-07-18T22:00+08:00,23,30,77,8,135,1001
2025-07-18T23:00+08:00,26,29,80,8,338,1000
2025-07-17T00:00+08:00,6,29,85,11,225,1004
2025-07-17T01:00+08:00,12,30,85,11,225,1003
2025-07-17T02:00+08:00,12,29,85,11,225,1003
2025-07-17T03:00+08:00,12,29,86,10,248,1003
2025-07-17T04:00+08:00,8,29,88,10,248,1004
2025-07-17T05:00+08:00,7,28,91,10,248,1004
2025-07-17T06:00+08:00,9,28,94,10,248,1004
2025-07-17T07:00+08:00,9,28,92,11,248,1004
2025-07-17T08:00+08:00,7,30,84,12,225,1005
2025-07-17T09:00+08:00,10,31,77,13,225,1005
2025-07-17T10:00+08:00,9,32,73,14,225,1005
2025-07-17T11:00+08:00,8,33,69,14,248,1004
2025-07-17T12:00+08:00,10,34,67,15,248,1003
2025-07-17T13:00+08:00,8,34,63,15,248,1003
2025-07-17T14:00+08:00,6,35,61,14,248,1004
2025-07-17T15:00+08:00,17,35,58,14,248,1004
2025-07-17T16:00+08:00,12,35,60,14,225,1005
2025-07-17T17:00+08:00,14,35,62,15,225,1005
2025-07-17T18:00+08:00,15,34,64,15,225,1005
2025-07-17T19:00+08:00,20,34,66,15,225,1005
2025-07-17T20:00+08:00,23,32,72,12,225,1005
2025-07-17T21:00+08:00,21,32,76,9,225,1005
2025-07-17T22:00+08:00,13,31,80,9,225,1004
2025-07-17T23:00+08:00,8,30,85,9,225,1003
2025-07-16T00:00+08:00,9,29,88,12,225,1003
